,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1753,1754,18,Spring,2011,Mar,18,0,5,1,1,0.68,0.6364,0.39,0.1642,84,247,331
3207,3208,18,Summer,2011,May,13,0,3,1,2,0.56,0.5303,0.83,0.3284,30,92,122
9811,9812,18,Spring,2012,Feb,18,0,6,0,1,0.46,0.4545,0.38,0.2985,70,176,246
15619,15620,18,Winter,2012,Oct,0,0,4,1,1,0.46,0.4545,0.88,0.194,4,53,57
15620,15621,18,Winter,2012,Oct,1,0,4,1,1,0.46,0.4545,0.82,0.2239,0,14,14
15621,15622,18,Winter,2012,Oct,2,0,4,1,1,0.46,0.4545,0.82,0.194,1,13,14
15622,15623,18,Winter,2012,Oct,3,0,4,1,1,0.44,0.4394,0.88,0.2239,0,5,5
15623,15624,18,Winter,2012,Oct,4,0,4,1,1,0.44,0.4394,0.88,0.2239,0,5,5
15624,15625,18,Winter,2012,Oct,5,0,4,1,1,0.44,0.4394,0.82,0.2239,1,41,42
400,401,18,Spring,2011,Jan,16,0,2,1,2,0.22,0.2273,0.87,0.194,0,61,61
9813,9814,18,Spring,2012,Feb,20,0,6,0,1,0.44,0.4394,0.44,0.1642,25,123,148
9797,9798,18,Spring,2012,Feb,4,0,6,0,1,0.26,0.303,0.7,0.0,3,4,7
9796,9797,18,Spring,2012,Feb,3,0,6,0,1,0.28,0.2879,0.65,0.1045,3,15,18
9795,9796,18,Spring,2012,Feb,2,0,6,0,1,0.3,0.2879,0.61,0.2537,6,39,45
9794,9795,18,Spring,2012,Feb,1,0,6,0,1,0.32,0.3182,0.49,0.1642,7,38,45
9793,9794,18,Spring,2012,Feb,0,0,6,0,1,0.34,0.3333,0.42,0.1642,5,81,86
9808,9809,18,Spring,2012,Feb,15,0,6,0,1,0.42,0.4242,0.41,0.2537,229,270,499
9809,9810,18,Spring,2012,Feb,16,0,6,0,1,0.44,0.4394,0.44,0.3284,186,218,404
403,404,18,Spring,2011,Jan,19,0,2,1,2,0.22,0.2273,0.8,0.1343,1,98,99
3217,3218,18,Summer,2011,May,23,0,3,1,1,0.52,0.5,0.94,0.0896,10,49,59
404,405,18,Spring,2011,Jan,20,0,2,1,2,0.22,0.2727,0.87,0.0,0,83,83
406,407,18,Spring,2011,Jan,22,0,2,1,2,0.22,0.2576,0.93,0.0896,0,33,33
14166,14167,18,Fall,2012,Aug,11,0,6,0,1,0.72,0.6667,0.51,0.0,180,356,536
14163,14164,18,Fall,2012,Aug,8,0,6,0,1,0.64,0.6061,0.69,0.2537,28,161,189
14164,14165,18,Fall,2012,Aug,9,0,6,0,1,0.66,0.6212,0.65,0.2836,81,211,292
12699,12700,18,Summer,2012,Jun,8,0,1,1,2,0.54,0.5152,0.83,0.194,27,447,474
1754,1755,18,Spring,2011,Mar,19,0,5,1,1,0.66,0.6212,0.44,0.1343,58,132,190
1736,1737,18,Spring,2011,Mar,0,0,5,1,1,0.42,0.4242,0.58,0.2836,5,24,29
1737,1738,18,Spring,2011,Mar,1,0,5,1,1,0.4,0.4091,0.62,0.2537,4,12,16
1738,1739,18,Spring,2011,Mar,2,0,5,1,1,0.4,0.4091,0.62,0.194,5,9,14
1739,1740,18,Spring,2011,Mar,3,0,5,1,1,0.36,0.3485,0.71,0.194,1,4,5
1740,1741,18,Spring,2011,Mar,5,0,5,1,1,0.38,0.3939,0.66,0.1642,2,8,10
1741,1742,18,Spring,2011,Mar,6,0,5,1,1,0.4,0.4091,0.66,0.194,1,35,36
1742,1743,18,Spring,2011,Mar,7,0,5,1,1,0.4,0.4091,0.66,0.194,11,112,123
1743,1744,18,Spring,2011,Mar,8,0,5,1,1,0.42,0.4242,0.67,0.2537,24,256,280
1744,1745,18,Spring,2011,Mar,9,0,5,1,1,0.46,0.4545,0.63,0.2239,18,192,210
14168,14169,18,Fall,2012,Aug,13,0,6,0,1,0.74,0.6515,0.4,0.194,289,355,644
14162,14163,18,Fall,2012,Aug,7,0,6,0,1,0.6,0.5606,0.83,0.2239,12,52,64
405,406,18,Spring,2011,Jan,21,0,2,1,2,0.22,0.2424,0.93,0.1045,0,41,41
1103,1104,18,Spring,2011,Feb,17,0,5,1,1,0.66,0.6212,0.34,0.3582,52,275,327
1087,1088,18,Spring,2011,Feb,1,0,5,1,1,0.44,0.4394,0.72,0.2239,1,7,8
407,408,18,Spring,2011,Jan,23,0,2,1,2,0.22,0.2727,0.93,0.0,1,19,20
14159,14160,18,Fall,2012,Aug,4,0,6,0,1,0.62,0.5909,0.73,0.2239,5,8,13
14160,14161,18,Fall,2012,Aug,5,0,6,0,1,0.6,0.5758,0.78,0.2537,2,7,9
3941,3942,18,Summer,2011,Jun,3,0,6,0,1,0.6,0.5455,0.88,0.0896,4,16,20
14161,14162,18,Fall,2012,Aug,6,0,6,0,1,0.6,0.5606,0.83,0.2239,4,23,27
3943,3944,18,Summer,2011,Jun,5,0,6,0,1,0.62,0.5758,0.83,0.0,1,6,7
3944,3945,18,Summer,2011,Jun,6,0,6,0,1,0.62,0.5758,0.83,0.1045,9,18,27
3945,3946,18,Summer,2011,Jun,7,0,6,0,1,0.64,0.5909,0.78,0.1343,12,45,57
3946,3947,18,Summer,2011,Jun,8,0,6,0,1,0.66,0.6061,0.78,0.0896,28,103,131
3947,3948,18,Summer,2011,Jun,9,0,6,0,1,0.7,0.6515,0.61,0.2239,62,156,218
3948,3949,18,Summer,2011,Jun,10,0,6,0,1,0.72,0.6818,0.62,0.194,68,176,244
3949,3950,18,Summer,2011,Jun,11,0,6,0,1,0.72,0.6818,0.62,0.1343,134,270,404
1107,1108,18,Spring,2011,Feb,21,0,5,1,1,0.58,0.5455,0.21,0.4925,11,61,72
1109,1110,18,Spring,2011,Feb,23,0,5,1,1,0.52,0.5,0.08,0.2836,16,61,77
12698,12699,18,Summer,2012,Jun,7,0,1,1,3,0.52,0.5,0.94,0.2239,10,135,145
1101,1102,18,Spring,2011,Feb,15,0,5,1,1,0.66,0.6212,0.36,0.3284,55,117,172
3216,3217,18,Summer,2011,May,22,0,3,1,1,0.52,0.5,0.83,0.0,14,103,117
402,403,18,Spring,2011,Jan,18,0,2,1,2,0.22,0.2273,0.8,0.1642,1,132,133
3214,3215,18,Summer,2011,May,20,0,3,1,3,0.56,0.5303,0.88,0.1343,24,189,213
6869,6870,18,Winter,2011,Oct,19,0,2,1,1,0.56,0.5303,0.6,0.1045,31,286,317
6870,6871,18,Winter,2011,Oct,20,0,2,1,1,0.54,0.5152,0.64,0.1642,23,204,227
6871,6872,18,Winter,2011,Oct,21,0,2,1,2,0.54,0.5152,0.68,0.1343,28,178,206
6872,6873,18,Winter,2011,Oct,22,0,2,1,2,0.52,0.5,0.77,0.1642,22,115,137
1104,1105,18,Spring,2011,Feb,18,0,5,1,1,0.64,0.6212,0.33,0.3284,29,195,224
6873,6874,18,Winter,2011,Oct,23,0,2,1,2,0.52,0.5,0.77,0.194,7,63,70
1105,1106,18,Spring,2011,Feb,19,0,5,1,1,0.62,0.6212,0.29,0.5821,16,146,162
13428,13429,18,Fall,2012,Jul,17,0,3,1,1,0.74,0.697,0.7,0.2537,35,335,370
1106,1107,18,Spring,2011,Feb,20,0,5,1,1,0.6,0.6212,0.31,0.194,19,105,124
3198,3199,18,Summer,2011,May,4,0,3,1,3,0.52,0.5,0.94,0.2985,1,2,3
7600,7601,18,Winter,2011,Nov,7,0,5,1,1,0.22,0.2273,0.44,0.1642,5,211,216
7599,7600,18,Winter,2011,Nov,6,0,5,1,1,0.22,0.2576,0.44,0.0896,1,70,71
3199,3200,18,Summer,2011,May,5,0,3,1,1,0.52,0.5,1.0,0.2239,0,9,9
3200,3201,18,Summer,2011,May,6,0,3,1,1,0.52,0.5,1.0,0.1343,2,99,101
3215,3216,18,Summer,2011,May,21,0,3,1,1,0.52,0.5,0.88,0.0,11,74,85
401,402,18,Spring,2011,Jan,17,0,2,1,2,0.22,0.2273,0.82,0.194,1,124,125
1108,1109,18,Spring,2011,Feb,22,0,5,1,1,0.54,0.5152,0.1,0.2537,19,88,107
14156,14157,18,Fall,2012,Aug,1,0,6,0,3,0.62,0.5455,0.94,0.1642,14,78,92
17046,17047,18,Winter,2012,Dec,1,0,2,1,2,0.44,0.4394,0.94,0.1343,0,15,15
1750,1751,18,Spring,2011,Mar,15,0,5,1,2,0.68,0.6364,0.39,0.3582,62,111,173
9815,9816,18,Spring,2012,Feb,22,0,6,0,1,0.4,0.4091,0.4,0.4478,17,101,118
9816,9817,18,Spring,2012,Feb,23,0,6,0,2,0.36,0.3333,0.4,0.3881,12,62,74
3951,3952,18,Summer,2011,Jun,13,0,6,0,1,0.76,0.697,0.55,0.0,135,192,327
3939,3940,18,Summer,2011,Jun,1,0,6,0,1,0.62,0.5758,0.83,0.1045,15,80,95
3940,3941,18,Summer,2011,Jun,2,0,6,0,1,0.6,0.5455,0.88,0.0,16,37,53
3195,3196,18,Summer,2011,May,1,0,3,1,2,0.54,0.5152,0.88,0.2537,3,9,12
3196,3197,18,Summer,2011,May,2,0,3,1,3,0.52,0.5,0.94,0.2239,1,5,6
1751,1752,18,Spring,2011,Mar,16,0,5,1,1,0.68,0.6364,0.39,0.2836,67,137,204
6868,6869,18,Winter,2011,Oct,18,0,2,1,1,0.56,0.5303,0.68,0.1045,58,512,570
6866,6867,18,Winter,2011,Oct,16,0,2,1,1,0.62,0.6212,0.57,0.2537,58,246,304
6865,6866,18,Winter,2011,Oct,15,0,2,1,1,0.62,0.6212,0.5,0.194,66,139,205
6864,6865,18,Winter,2011,Oct,14,0,2,1,2,0.62,0.6212,0.41,0.1642,32,137,169
6863,6864,18,Winter,2011,Oct,13,0,2,1,2,0.64,0.6212,0.38,0.194,48,171,219
3197,3198,18,Summer,2011,May,3,0,3,1,3,0.52,0.5,0.94,0.2985,6,3,9
1749,1750,18,Spring,2011,Mar,14,0,5,1,1,0.66,0.6212,0.39,0.2537,71,103,174
17045,17046,18,Winter,2012,Dec,0,0,2,1,2,0.44,0.4394,0.94,0.1343,0,18,18
6867,6868,18,Winter,2011,Oct,17,0,2,1,1,0.6,0.6061,0.6,0.1343,72,553,625
14157,14158,18,Fall,2012,Aug,2,0,6,0,3,0.62,0.5606,0.88,0.1642,4,39,43
7598,7599,18,Winter,2011,Nov,5,0,5,1,1,0.22,0.2273,0.44,0.1343,0,22,22
7616,7617,18,Winter,2011,Nov,23,0,5,1,1,0.26,0.2727,0.6,0.1343,5,54,59
15641,15642,18,Winter,2012,Oct,22,0,4,1,2,0.54,0.5152,0.83,0.194,27,202,229
15640,15641,18,Winter,2012,Oct,21,0,4,1,2,0.54,0.5152,0.77,0.194,38,245,283
15639,15640,18,Winter,2012,Oct,20,0,4,1,2,0.56,0.5303,0.68,0.2537,39,348,387
15638,15639,18,Winter,2012,Oct,19,0,4,1,2,0.56,0.5303,0.68,0.2985,42,471,513
15637,15638,18,Winter,2012,Oct,18,0,4,1,2,0.56,0.5303,0.64,0.3284,68,720,788
15636,15637,18,Winter,2012,Oct,17,0,4,1,2,0.58,0.5455,0.64,0.3284,102,788,890
15642,15643,18,Winter,2012,Oct,23,0,4,1,2,0.54,0.5152,0.83,0.0,6,111,117
396,397,18,Spring,2011,Jan,12,0,2,1,2,0.2,0.1818,0.86,0.3284,0,3,3
15635,15636,18,Winter,2012,Oct,16,0,4,1,1,0.6,0.6212,0.56,0.2836,94,356,450
15634,15635,18,Winter,2012,Oct,15,0,4,1,2,0.6,0.6061,0.6,0.194,69,284,353
15633,15634,18,Winter,2012,Oct,14,0,4,1,2,0.62,0.6212,0.5,0.2985,94,191,285
15632,15633,18,Winter,2012,Oct,13,0,4,1,1,0.62,0.6212,0.53,0.3582,96,236,332
15630,15631,18,Winter,2012,Oct,11,0,4,1,2,0.56,0.5303,0.56,0.2239,79,189,268
3209,3210,18,Summer,2011,May,15,0,3,1,1,0.6,0.5758,0.78,0.2537,34,133,167
15629,15630,18,Winter,2012,Oct,10,0,4,1,2,0.52,0.5,0.68,0.2239,60,158,218
15631,15632,18,Winter,2012,Oct,12,0,4,1,2,0.6,0.6212,0.53,0.2537,93,284,377
15626,15627,18,Winter,2012,Oct,7,0,4,1,1,0.44,0.4394,0.88,0.2537,20,488,508
3208,3209,18,Summer,2011,May,14,0,3,1,2,0.58,0.5455,0.78,0.2836,44,94,138
3213,3214,18,Summer,2011,May,19,0,3,1,3,0.56,0.5303,0.88,0.1343,43,288,331
3206,3207,18,Summer,2011,May,12,0,3,1,1,0.56,0.5303,0.94,0.2985,12,42,54
3212,3213,18,Summer,2011,May,18,0,3,1,1,0.6,0.5909,0.73,0.2239,58,431,489
399,400,18,Spring,2011,Jan,15,0,2,1,2,0.22,0.2273,0.87,0.1642,3,32,35
3211,3212,18,Summer,2011,May,17,0,3,1,1,0.6,0.5909,0.69,0.1343,78,487,565
3210,3211,18,Summer,2011,May,16,0,3,1,1,0.6,0.5909,0.73,0.194,53,241,294
15628,15629,18,Winter,2012,Oct,9,0,4,1,2,0.5,0.4848,0.77,0.1642,41,346,387
15627,15628,18,Winter,2012,Oct,8,0,4,1,1,0.46,0.4545,0.82,0.2537,31,803,834
15625,15626,18,Winter,2012,Oct,6,0,4,1,1,0.44,0.4394,0.88,0.2985,3,150,153
398,399,18,Spring,2011,Jan,14,0,2,1,2,0.22,0.2273,0.8,0.1642,2,26,28
397,398,18,Spring,2011,Jan,13,0,2,1,2,0.2,0.197,0.86,0.2239,0,22,22
14158,14159,18,Fall,2012,Aug,3,0,6,0,1,0.62,0.5606,0.88,0.194,7,23,30
14200,14201,19,Fall,2012,Aug,21,0,0,0,3,0.62,0.5909,0.78,0.0896,36,154,190
14938,14939,19,Fall,2012,Sep,15,0,3,1,1,0.62,0.6212,0.35,0.0,57,254,311
14202,14203,19,Fall,2012,Aug,23,0,0,0,2,0.62,0.5909,0.73,0.0,7,39,46
14926,14927,19,Fall,2012,Sep,3,0,3,1,2,0.52,0.5,0.63,0.2537,1,4,5
17091,17092,19,Winter,2012,Dec,22,0,3,1,1,0.34,0.3485,0.61,0.0896,12,117,129
14933,14934,19,Fall,2012,Sep,10,0,3,1,1,0.56,0.5303,0.52,0.194,23,169,192
14191,14192,19,Fall,2012,Aug,12,0,0,0,3,0.64,0.6061,0.73,0.0,112,186,298
14931,14932,19,Fall,2012,Sep,8,0,3,1,1,0.52,0.5,0.59,0.2239,39,758,797
14927,14928,19,Fall,2012,Sep,4,0,3,1,2,0.52,0.5,0.68,0.3582,0,10,10
17087,17088,19,Winter,2012,Dec,18,0,3,1,1,0.38,0.3939,0.5,0.3582,23,546,569
17088,17089,19,Winter,2012,Dec,19,0,3,1,1,0.38,0.3939,0.5,0.3881,7,329,336
17089,17090,19,Winter,2012,Dec,20,0,3,1,1,0.36,0.3485,0.57,0.2239,10,231,241
14929,14930,19,Fall,2012,Sep,6,0,3,1,1,0.52,0.5,0.63,0.2537,6,166,172
14928,14929,19,Fall,2012,Sep,5,0,3,1,2,0.52,0.5,0.68,0.2836,2,54,56
14937,14938,19,Fall,2012,Sep,14,0,3,1,1,0.62,0.6212,0.38,0.2537,59,227,286
14932,14933,19,Fall,2012,Sep,9,0,3,1,1,0.54,0.5152,0.6,0.2537,26,336,362
17090,17091,19,Winter,2012,Dec,21,0,3,1,1,0.34,0.3182,0.61,0.2239,4,164,168
14936,14937,19,Fall,2012,Sep,13,0,3,1,1,0.6,0.6212,0.4,0.2537,55,234,289
14935,14936,19,Fall,2012,Sep,12,0,3,1,1,0.6,0.6212,0.43,0.2537,53,260,313
14934,14935,19,Fall,2012,Sep,11,0,3,1,1,0.6,0.6212,0.43,0.2537,44,203,247
14193,14194,19,Fall,2012,Aug,14,0,0,0,3,0.64,0.6061,0.73,0.0,41,108,149
14942,14943,19,Fall,2012,Sep,19,0,3,1,1,0.56,0.5303,0.43,0.2239,72,539,611
3228,3229,19,Summer,2011,May,10,0,4,1,2,0.54,0.5152,0.83,0.0,35,95,130
6161,6162,19,Fall,2011,Sep,7,0,1,1,2,0.5,0.4848,0.82,0.2239,20,312,332
3238,3239,19,Summer,2011,May,20,0,4,1,1,0.54,0.5152,0.77,0.2836,46,236,282
3222,3223,19,Summer,2011,May,4,0,4,1,1,0.48,0.4697,0.94,0.0,2,3,5
3221,3222,19,Summer,2011,May,3,0,4,1,1,0.48,0.4697,1.0,0.0,1,3,4
3220,3221,19,Summer,2011,May,2,0,4,1,1,0.5,0.4848,0.94,0.0,3,12,15
3219,3220,19,Summer,2011,May,1,0,4,1,1,0.5,0.4848,0.94,0.0,2,4,6
3218,3219,19,Summer,2011,May,0,0,4,1,1,0.52,0.5,0.94,0.1045,6,23,29
3223,3224,19,Summer,2011,May,5,0,4,1,1,0.48,0.4697,0.94,0.0,2,24,26
3224,3225,19,Summer,2011,May,6,0,4,1,2,0.5,0.4848,0.94,0.0,17,86,103
3225,3226,19,Summer,2011,May,7,0,4,1,2,0.5,0.4848,1.0,0.0,18,239,257
3226,3227,19,Summer,2011,May,8,0,4,1,2,0.52,0.5,0.88,0.0,34,453,487
8356,8357,19,Winter,2011,Dec,20,0,1,1,1,0.4,0.4091,0.4,0.1642,9,197,206
8357,8358,19,Winter,2011,Dec,21,0,1,1,2,0.36,0.3485,0.53,0.1343,15,112,127
8351,8352,19,Winter,2011,Dec,15,0,1,1,1,0.38,0.3939,0.46,0.1642,24,135,159
8352,8353,19,Winter,2011,Dec,16,0,1,1,1,0.4,0.4091,0.4,0.2537,19,189,208
3237,3238,19,Summer,2011,May,19,0,4,1,1,0.58,0.5455,0.6,0.1343,65,345,410
3235,3236,19,Summer,2011,May,17,0,4,1,1,0.56,0.5303,0.78,0.1642,60,487,547
17083,17084,19,Winter,2012,Dec,14,0,3,1,1,0.42,0.4242,0.5,0.194,33,185,218
8353,8354,19,Winter,2011,Dec,17,0,1,1,1,0.38,0.3939,0.46,0.194,16,362,378
8354,8355,19,Winter,2011,Dec,18,0,1,1,1,0.36,0.3485,0.5,0.194,11,343,354
3239,3240,19,Summer,2011,May,21,0,4,1,1,0.54,0.5152,0.77,0.2836,29,180,209
3240,3241,19,Summer,2011,May,22,0,4,1,3,0.5,0.4848,0.82,0.2985,11,68,79
3236,3237,19,Summer,2011,May,18,0,4,1,1,0.6,0.6212,0.55,0.1642,59,454,513
3241,3242,19,Summer,2011,May,23,0,4,1,1,0.48,0.4697,0.94,0.0,9,63,72
17084,17085,19,Winter,2012,Dec,15,0,3,1,1,0.42,0.4242,0.5,0.2836,28,209,237
17085,17086,19,Winter,2012,Dec,16,0,3,1,1,0.42,0.4242,0.5,0.3582,37,297,334
17086,17087,19,Winter,2012,Dec,17,0,3,1,1,0.4,0.4091,0.5,0.3881,26,536,562
1129,1130,19,Spring,2011,Feb,19,0,6,0,1,0.34,0.303,0.29,0.3582,5,54,59
9088,9089,19,Spring,2012,Jan,14,0,4,1,1,0.24,0.2273,0.44,0.194,15,104,119
9090,9091,19,Spring,2012,Jan,16,0,4,1,1,0.26,0.2273,0.41,0.3284,8,185,193
9091,9092,19,Spring,2012,Jan,17,0,4,1,2,0.26,0.2273,0.44,0.3284,21,364,385
9092,9093,19,Spring,2012,Jan,18,0,4,1,2,0.26,0.2273,0.44,0.3284,16,345,361
9093,9094,19,Spring,2012,Jan,19,0,4,1,2,0.26,0.2273,0.48,0.2985,5,229,234
1115,1116,19,Spring,2011,Feb,5,0,6,0,1,0.4,0.4091,0.15,0.3284,0,3,3
9094,9095,19,Spring,2012,Jan,20,0,4,1,1,0.26,0.2121,0.52,0.4478,7,184,191
9097,9098,19,Spring,2012,Jan,23,0,4,1,1,0.26,0.2273,0.48,0.3284,1,55,56
14939,14940,19,Fall,2012,Sep,16,0,3,1,1,0.62,0.6212,0.35,0.0,69,397,466
9089,9090,19,Spring,2012,Jan,15,0,4,1,1,0.26,0.2273,0.44,0.2985,9,118,127
9087,9088,19,Spring,2012,Jan,13,0,4,1,1,0.22,0.2121,0.47,0.2836,6,118,124
9086,9087,19,Spring,2012,Jan,12,0,4,1,1,0.2,0.197,0.51,0.194,5,106,111
9096,9097,19,Spring,2012,Jan,22,0,4,1,2,0.26,0.2273,0.44,0.4179,0,90,90
1131,1132,19,Spring,2011,Feb,21,0,6,0,1,0.32,0.2727,0.26,0.5522,4,29,33
1130,1131,19,Spring,2011,Feb,20,0,6,0,1,0.32,0.2879,0.28,0.5224,9,38,47
1128,1129,19,Spring,2011,Feb,18,0,6,0,1,0.36,0.3182,0.25,0.4478,21,67,88
9095,9096,19,Spring,2012,Jan,21,0,4,1,1,0.26,0.2273,0.44,0.3582,4,117,121
17072,17073,19,Winter,2012,Dec,3,0,3,1,1,0.26,0.2727,0.75,0.1343,0,5,5
8355,8356,19,Winter,2011,Dec,19,0,1,1,2,0.36,0.3485,0.53,0.1642,17,234,251
8359,8360,19,Winter,2011,Dec,23,0,1,1,1,0.36,0.3485,0.53,0.1642,10,50,60
9081,9082,19,Spring,2012,Jan,7,0,4,1,1,0.12,0.1667,0.54,0.0896,2,204,206
9080,9081,19,Spring,2012,Jan,6,0,4,1,1,0.12,0.1364,0.54,0.1642,0,86,86
9079,9080,19,Spring,2012,Jan,5,0,4,1,1,0.12,0.1212,0.55,0.2537,0,19,19
9078,9079,19,Spring,2012,Jan,4,0,4,1,1,0.12,0.1515,0.54,0.1045,0,1,1
17071,17072,19,Winter,2012,Dec,2,0,3,1,1,0.28,0.303,0.65,0.0896,1,2,3
9077,9078,19,Spring,2012,Jan,3,0,4,1,1,0.12,0.1515,0.54,0.1045,0,4,4
9076,9077,19,Spring,2012,Jan,2,0,4,1,1,0.14,0.1515,0.5,0.1343,0,3,3
17070,17071,19,Winter,2012,Dec,1,0,3,1,1,0.3,0.3182,0.65,0.0896,1,14,15
9075,9076,19,Spring,2012,Jan,1,0,4,1,1,0.14,0.1515,0.5,0.1642,0,5,5
17069,17070,19,Winter,2012,Dec,0,0,3,1,1,0.3,0.3182,0.61,0.0,6,35,41
17075,17076,19,Winter,2012,Dec,6,0,3,1,1,0.24,0.2576,0.75,0.0896,3,109,112
14201,14202,19,Fall,2012,Aug,22,0,0,0,2,0.62,0.5909,0.78,0.1642,6,50,56
14194,14195,19,Fall,2012,Aug,15,0,0,0,2,0.64,0.6061,0.65,0.0,89,187,276
14195,14196,19,Fall,2012,Aug,16,0,0,0,2,0.66,0.6212,0.65,0.0,97,259,356
14196,14197,19,Fall,2012,Aug,17,0,0,0,2,0.64,0.5909,0.78,0.1045,76,267,343
14197,14198,19,Fall,2012,Aug,18,0,0,0,2,0.64,0.5909,0.78,0.1045,86,291,377
14198,14199,19,Fall,2012,Aug,19,0,0,0,2,0.64,0.6061,0.73,0.1343,72,269,341
14199,14200,19,Fall,2012,Aug,20,0,0,0,2,0.64,0.6061,0.73,0.194,61,213,274
14192,14193,19,Fall,2012,Aug,13,0,0,0,3,0.64,0.5758,0.83,0.1343,50,112,162
17073,17074,19,Winter,2012,Dec,4,0,3,1,1,0.24,0.2424,0.75,0.1343,1,6,7
17074,17075,19,Winter,2012,Dec,5,0,3,1,1,0.26,0.2879,0.75,0.0896,2,29,31
9082,9083,19,Spring,2012,Jan,8,0,4,1,1,0.12,0.1515,0.54,0.1045,9,414,423
9083,9084,19,Spring,2012,Jan,9,0,4,1,1,0.12,0.197,0.54,0.0,6,204,210
3233,3234,19,Summer,2011,May,15,0,4,1,1,0.56,0.5303,0.78,0.1642,63,125,188
3232,3233,19,Summer,2011,May,14,0,4,1,3,0.54,0.5152,0.73,0.194,43,137,180
3231,3232,19,Summer,2011,May,13,0,4,1,3,0.58,0.5455,0.64,0.2537,44,139,183
3230,3231,19,Summer,2011,May,12,0,4,1,2,0.58,0.5455,0.78,0.1045,38,130,168
3229,3230,19,Summer,2011,May,11,0,4,1,3,0.54,0.5152,0.88,0.1642,53,111,164
3227,3228,19,Summer,2011,May,9,0,4,1,2,0.54,0.5152,0.88,0.0896,40,176,216
8347,8348,19,Winter,2011,Dec,11,0,1,1,1,0.26,0.2424,0.65,0.2537,22,105,127
8349,8350,19,Winter,2011,Dec,13,0,1,1,1,0.34,0.303,0.49,0.3284,15,127,142
8350,8351,19,Winter,2011,Dec,14,0,1,1,1,0.36,0.3485,0.46,0.2239,30,107,137
8358,8359,19,Winter,2011,Dec,22,0,1,1,2,0.36,0.3485,0.57,0.1642,12,95,107
3234,3235,19,Summer,2011,May,16,0,4,1,1,0.58,0.5455,0.64,0.194,55,247,302
17081,17082,19,Winter,2012,Dec,12,0,3,1,1,0.4,0.4091,0.54,0.2836,33,203,236
17080,17081,19,Winter,2012,Dec,11,0,3,1,1,0.4,0.4091,0.54,0.2239,31,169,200
17079,17080,19,Winter,2012,Dec,10,0,3,1,1,0.32,0.3333,0.7,0.1045,17,147,164
17078,17079,19,Winter,2012,Dec,9,0,3,1,1,0.28,0.2879,0.75,0.1045,8,309,317
17077,17078,19,Winter,2012,Dec,8,0,3,1,1,0.24,0.2576,0.87,0.1045,13,665,678
17076,17077,19,Winter,2012,Dec,7,0,3,1,1,0.26,0.2727,0.75,0.1343,3,360,363
9074,9075,19,Spring,2012,Jan,0,0,4,1,1,0.14,0.1364,0.5,0.194,0,16,16
9085,9086,19,Spring,2012,Jan,11,0,4,1,1,0.16,0.1667,0.55,0.1642,6,93,99
9084,9085,19,Spring,2012,Jan,10,0,4,1,1,0.14,0.2121,0.59,0.0,10,98,108
17082,17083,19,Winter,2012,Dec,13,0,3,1,1,0.42,0.4242,0.5,0.194,30,183,213
14940,14941,19,Fall,2012,Sep,17,0,3,1,1,0.6,0.6212,0.38,0.2239,74,812,886
423,424,19,Spring,2011,Jan,16,0,3,1,1,0.38,0.3939,0.58,0.3881,10,94,104
17092,17093,19,Winter,2012,Dec,23,0,3,1,1,0.32,0.3333,0.66,0.1343,4,84,88
6890,6891,19,Winter,2011,Oct,17,0,3,1,3,0.56,0.5303,0.94,0.1642,11,170,181
6891,6892,19,Winter,2011,Oct,18,0,3,1,3,0.56,0.5303,1.0,0.1642,8,132,140
6892,6893,19,Winter,2011,Oct,19,0,3,1,2,0.6,0.5455,0.88,0.1343,8,189,197
6893,6894,19,Winter,2011,Oct,20,0,3,1,3,0.6,0.5152,0.94,0.0896,5,140,145
6894,6895,19,Winter,2011,Oct,21,0,3,1,2,0.58,0.5455,0.94,0.1343,6,79,85
6895,6896,19,Winter,2011,Oct,22,0,3,1,2,0.58,0.5455,0.94,0.3582,13,94,107
11261,11262,19,Summer,2012,Apr,10,0,4,1,1,0.48,0.4697,0.63,0.0896,46,143,189
11260,11261,19,Summer,2012,Apr,9,0,4,1,2,0.46,0.4545,0.72,0.0,31,270,301
11259,11260,19,Summer,2012,Apr,8,0,4,1,2,0.42,0.4242,0.82,0.1045,26,651,677
11258,11259,19,Summer,2012,Apr,7,0,4,1,2,0.4,0.4091,0.82,0.1343,15,391,406
11253,11254,19,Summer,2012,Apr,2,0,4,1,2,0.42,0.4242,0.77,0.0,2,4,6
416,417,19,Spring,2011,Jan,9,0,3,1,2,0.24,0.2576,0.93,0.1045,2,107,109
418,419,19,Spring,2011,Jan,11,0,3,1,2,0.28,0.303,0.87,0.0896,5,47,52
11251,11252,19,Summer,2012,Apr,0,0,4,1,3,0.42,0.4242,0.77,0.0,5,20,25
2518,2519,19,Summer,2011,Apr,20,0,2,1,2,0.5,0.4848,0.72,0.2239,20,148,168
11262,11263,19,Summer,2012,Apr,11,0,4,1,1,0.52,0.5,0.48,0.0,46,183,229
11252,11253,19,Summer,2012,Apr,1,0,4,1,3,0.42,0.4242,0.77,0.1045,2,11,13
11263,11264,19,Summer,2012,Apr,12,0,4,1,1,0.54,0.5152,0.49,0.0,51,213,264
